# R-1（Remotion 載せ替え）効果確認 2026-09-19 実施
# 差し替え日 2026-09-03 / 判定: ① OK（スキップ率 50.6→43.0% / 平均視聴 12.4→19.2 秒） ② NG（コメント中央値 10→6）


## weekly_age_fixed
set_code           week_from  n   avg_views_72h  avg_reach_72h  avg_skip_pct_72h  avg_watch_s_72h  avg_comments_72h  avg_saved_72h
-----------------  ---------  --  -------------  -------------  ----------------  ---------------  ----------------  -------------
fantasy-animals-1  08-03      2   47             44             86.5              2.0              0.00              0.00         
fantasy-animals-1  08-10      7   89             84             91.9              1.6              0.00              0.00         
fantasy-animals-1  08-17      7   92             86             92.7              2.0              0.00              0.14         
fantasy-animals-1  08-24      7   43             41             95.4              1.2              0.00              0.00         
logic-training-1   08-03      5   94             85             79.1              3.8              0.00              0.00         
logic-training-1   08-10      21  558            349            80.2              3.9              0.48              0.14         
logic-training-1   08-17      18  1246           902            67.6              6.6              1.89              0.28         
logic-training-1   08-24      14  2060           1292           52.1              15.1             9.07              1.21         
logic-training-1   08-31      12  1760           1080           52.2              18.5             12.50             0.92         
logic-training-1   09-07      14  16396          9680           44.9              18.3             10.14             2.93         
logic-training-1   09-14      4   5745           3078           45.4              22.2             10.25             1.75         
pref-ranking-1     08-24      5   905            753            61.0              10.4             0.00              1.00         
pref-ranking-1     08-31      7   87             76             67.7              21.9             0.00              0.00         
pref-ranking-1     09-07      7   132            113            69.2              7.0              0.00              0.00         
pref-ranking-1     09-14      2   39             38             77.7              3.0              0.00              0.00         
(15 rows)

## per_post_latest
set_code           post_id  posted_jst   age_days  views   reach  skip_rate_pct  avg_watch_s  likes  comments  saved  shares
logic-training-1   242      09-02 21:04  13.8      187     105    49.5           24.7         0      2         0      0     
logic-training-1   245      09-03 07:34  13.9      224     156    53.5           10.0         0      4         0      0     
logic-training-1   249      09-03 21:03  13.8      16662   8688   45.0           29.1         13     28        12     0     
logic-training-1   251      09-04 07:34  13.9      1438    979    43.0           13.5         4      20        1      0     
logic-training-1   257      09-05 21:03  13.3      460     251    52.0           61.7         0      2         0      0     
logic-training-1   259      09-06 07:33  12.9      4920    3159   44.8           16.1         3      16        1      1     
logic-training-1   263      09-06 21:03  12.3      4291    2745   50.2           13.6         4      2         4      0     
logic-training-1   265      09-07 07:34  11.9      638     452    40.0           11.3         5      19        1      0     
logic-training-1   269      09-07 21:04  11.3      447     248    48.2           21.9         0      2         1      0     
logic-training-1   271      09-08 07:34  10.9      60544   32987  40.7           19.3         34     18        10     0     
logic-training-1   275      09-08 21:04  10.3      1273    731    43.1           23.1         0      0         3      0     
logic-training-1   277      09-09 07:33  9.9       7622    4267   49.5           22.9         6      6         3      0     
logic-training-1   281      09-09 21:03  9.3       1687    898    37.2           30.8         2      2         2      0     
logic-training-1   283      09-10 07:34  8.9       9383    6217   41.9           17.7         19     15        6      0     
logic-training-1   287      09-10 21:04  8.3       144549  85544  37.4           19.2         71     49        23     0     
logic-training-1   289      09-11 07:34  7.9       833     615    37.4           10.8         4      11        0      0     
logic-training-1   293      09-11 21:03  7.3       613     494    40.8           9.5          2      6         1      0     
logic-training-1   295      09-12 07:33  6.9       351     271    53.3           7.9          0      2         0      0     
logic-training-1   299      09-12 21:04  6.3       33698   18966  58.4           25.9         27     18        5      1     
logic-training-1   301      09-13 07:34  5.9       792     508    38.9           16.3         0      0         1      0     
logic-training-1   305      09-13 21:04  5.3       3008    1586   40.2           30.7         2      4         3      0     
logic-training-1   307      09-14 07:33  4.9       20320   10673  45.0           26.6         12     21        4      0     
logic-training-1   311      09-14 21:06  4.3       981     577    34.0           24.8         0      0         1      0     
logic-training-1   313      09-15 07:34  3.9       884     615    57.3           12.6         3      14        1      0     
logic-training-1   317      09-15 21:03  3.3       1504    870    44.5           24.5         3      6         2      0     
logic-training-1   319      09-16 07:33  2.9       1793    1048   42.6           19.3         3      16        4      0     
logic-training-1   323      09-16 21:04  2.3       610     384    49.7           14.0         0      12        0      0     
logic-training-1   325      09-17 07:33  1.9       460     314    48.3           12.6         1      2         0      0     
logic-training-1   329      09-17 21:04  1.3       1722    1050   42.3           16.1         2      8         3      0     
logic-training-1   331      09-18 07:34  0.9       5530    3795   47.3           12.7         2      10        0      0     
logic-training-1   335      09-18 21:04  0.3       586     353    46.4           14.3         0      2         0      0     
pref-ranking-1     194      08-26 23:21  13.8      156     133    60.3           7.5          0      0         0      0     
pref-ranking-1     198      08-27 20:04  13.9      560     457    54.7           19.5         3      0         1      0     
pref-ranking-1     205      08-28 20:04  13.9      157     127    62.7           8.3          0      0         0      0     
pref-ranking-1     212      08-29 20:03  13.9      3468    2896   60.2           9.9          9      0         3      0     
pref-ranking-1     219      08-30 20:03  13.9      233     200    59.4           8.4          2      0         1      0     
pref-ranking-1     226      08-31 20:03  13.9      111     101    72.3           5.3          0      0         0      0     
pref-ranking-1     233      09-01 20:03  13.9      31      23     69.6           98.5         0      0         0      0     
pref-ranking-1     240      09-02 20:04  13.9      79      73     72.2           5.4          0      0         0      0     
pref-ranking-1     247      09-03 20:03  13.9      130     107    58.9           9.3          0      0         0      0     
pref-ranking-1     253      09-04 20:04  13.9      133     108    58.9           12.5         0      0         0      0     
pref-ranking-1     255      09-05 20:04  13.4      43      36     63.9           11.2         0      0         0      0     
pref-ranking-1     261      09-06 20:03  12.4      110     104    70.2           5.3          0      0         0      0     
pref-ranking-1     267      09-07 20:03  11.4      150     124    56.9           10.1         0      0         0      0     
pref-ranking-1     273      09-08 20:04  10.4      255     216    59.1           8.3          1      0         0      0     
pref-ranking-1     279      09-09 20:03  9.4       116     103    63.4           7.0          0      0         0      0     
pref-ranking-1     285      09-10 20:04  8.4       176     143    71.3           8.3          0      0         0      0     
pref-ranking-1     291      09-11 20:03  7.4       87      85     63.9           6.9          0      0         0      0     
pref-ranking-1     297      09-12 20:04  6.4       6       6      100.0          1.5          0      0         0      0     
pref-ranking-1     303      09-13 20:03  5.4       145     123    71.5           6.2          0      0         0      0     
pref-ranking-1     309      09-14 20:04  4.4       8       7      85.7           1.9          0      0         0      0     
pref-ranking-1     315      09-15 20:03  3.4       71      69     72.1           4.3          0      0         0      0     
pref-ranking-1     321      09-16 20:04  2.4       113     97     70.1           5.5          0      0         0      0     
pref-ranking-1     327      09-17 20:03  1.4       24      23     56.5           6.5          1      0         0      0     
pref-ranking-1     333      09-18 20:04  0.4       121     108    67.3           6.0          0      0         0      0     
(147 rows)
